City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,birao,10.2849,22.7882,78.15,52,53,6.73,CF,1679281388
164,kenai,60.5544,-151.2583,30.43,91,55,6.93,US,1679281388
165,muroto,33.2833,134.15,58.05,59,100,3.36,JP,1679281389
166,manta,-0.95,-80.7333,82.18,78,40,0.0,EC,1679281391
167,dalby,-27.1833,151.2667,89.06,22,5,7.29,AU,1679281391
168,georgetown,5.4112,100.3354,87.73,83,20,8.05,MY,1679281290
169,biloela,-24.4167,150.5,91.98,37,5,11.99,AU,1679281215
170,sola,-13.8833,167.55,82.69,71,39,8.55,VU,1679281284
171,bira,49.0,132.4667,46.31,53,0,3.71,RU,1679281392
172,hualmay,-11.0964,-77.6139,75.07,77,99,6.53,PE,1679281393
173,toyooka,35.5333,134.8333,64.45,36,20,6.91,JP,1679281393
174,princeton,25.5384,-80.4089,68.02,80,40,11.5,US,1679281394
175,usinsk,65.9939,57.5281,25.74,89,100,26.22,RU,1679281394
176,constitucion,-35.3333,-72.4167,59.83,74,12,10.83,CL,1679281395
177,emerald,-23.5333,148.1667,86.34,52,19,15.01,AU,1679281395
178,marsh harbour,26.5412,-77.0636,72.88,84,100,18.03,BS,1679281396
179,bethel,41.3712,-73.414,33.89,46,0,9.22,US,1679281109
180,mokobeng,-22.9965,27.6678,68.29,69,0,9.13,BW,1679281397
181,yumen,40.2833,97.2,45.9,29,1,40.82,CN,1679281399
182,kodiak,57.79,-152.4072,36.91,52,40,5.75,US,1679281153
183,teguise,29.0605,-13.564,59.22,67,20,12.66,ES,1679281399
184,pahrump,36.2083,-115.9839,54.25,53,100,7.0,US,1679281229
185,campo grande,-20.4428,-54.6464,72.95,83,75,8.05,BR,1679281221
186,issoire,45.55,3.25,42.06,90,11,2.3,FR,1679281400
187,salalah,17.0151,54.0924,77.34,83,85,5.3,OM,1679281401
188,shimoda,34.6667,138.95,65.1,54,38,6.8,JP,1679281402
189,caravelas,-17.7125,-39.2481,73.94,90,0,4.36,BR,1679281402
190,pervomayskiy,53.2485,40.2871,33.33,93,100,5.93,RU,1679281403
191,vasto,42.1243,14.7059,52.68,78,100,2.84,IT,1679281403
192,pangnirtung,66.1451,-65.7125,-3.1,88,98,3.65,CA,1679281404
193,khalkhal,37.6189,48.5258,39.43,89,19,3.04,IR,1679281405
194,pemangkat,1.1667,108.9667,79.86,81,99,1.7,ID,1679281405
195,rudsar,37.1376,50.288,51.78,94,71,2.21,IR,1679281406
196,brae,60.3964,-1.353,40.84,70,100,6.02,GB,1679281407
197,hulan,45.9833,126.6,50.11,31,5,16.64,CN,1679281408
198,viiratsi,58.36,25.6372,40.01,96,100,3.42,EE,1679281408
199,la ronge,55.1001,-105.2842,10.65,56,20,6.91,CA,1679281409
200,qeshm,26.9581,56.2719,69.69,70,74,0.6,IR,1679281409
201,bacolod,10.6667,122.95,84.85,63,100,11.23,PH,1679281231
202,igarka,67.4667,86.5833,-0.96,89,100,19.33,RU,1679281410
203,amapa,1.0,-52.0,69.06,98,1,2.95,BR,1679281411
204,san quintin,30.4833,-115.95,60.51,66,100,3.0,MX,1679281411
205,mahebourg,-20.4081,57.7,77.25,100,40,4.61,MU,1679281412
206,truth or consequences,33.1284,-107.2528,49.15,42,20,6.91,US,1679281413
207,belaya gora,68.5333,146.4167,-11.7,91,100,16.24,RU,1679281413
208,arman,59.7,150.1667,22.15,76,100,8.55,RU,1679281414
209,solikamsk,59.6196,56.7729,23.31,95,100,8.1,RU,1679281414
210,korla,41.7597,86.1469,41.31,34,2,14.03,CN,1679281415
